State,City,,Population1,"Violent
crime",Murder,"Rape
(revised
definition)2","Rape
(legacy
definition)3",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson4,,,
,,2015,,991,10,191,,191,599,"7,546","1,108","5,737",701,65,,,
,FORT COLLINS,2014,"154,015",135,0,20,,9,106,"1,690",194,"1,424",72,9,,,
,,2015,,139,1,10,,15,113,"1,532",182,"1,264",86,6,,,
,LAKEWOOD,2014,"148,236",334,3,57,,70,204,"3,298",493,"2,495",310,7,,,
,,2015,,413,3,64,,94,252,"3,489",412,"2,714",363,6,,,
,PUEBLO,2014,"108,591",415,4,60,,88,263,"3,651",914,"2,375",362,20,,,
,,2015,,452,6,86,,80,280,"3,360","1,028","1,974",358,19,,,
,THORNTON8,2014,"129,442",171,5,38,,23,105,"1,804",212,"1,400",192,10,,,
,,2015,,103,2,22,,11,68,,,"1,391",316,11,,,
,WESTMINSTER,2014,"112,100",130,2,18,,28,82,"1,590",154,"1,286",150,5,,,
,,2015,,132,3,28,,20,81,"1,721",177,"1,319",225,6,,,
CONNECTICUT,BRIDGEPORT,2014,"147,822",617,2,32,,248,335,"1,908",485,"1,114",309,15,,,
,,2015,,488,8,39,,214,227,"1,506",385,882,239,6,,,
,HARTFORD,2014,"124,943",671,7,22,,229,413,"2,587",376,"1,823",388,19,,,
,,2015,,697,14,15,,253,415,"2,549",414,"1,749",386,27,,,
,STAMFORD,2014,"127,385",147,1,12,,68,66,955,114,742,99,7,,,
,,2015,,124,2,6,,39,77,777,96,606,75,0,,,
,WATERBURY,2014,"109,495",165,3,14,,83,65,"1,973",172,"1,514",287,5,,,
,,2015,,206,1,13,,119,73,"2,093",203,"1,464",426,2,,,
FLORIDA,CAPE CORAL,2014,"168,712",116,2,5,,18,91,"1,630",320,"1,226",84,1,,,
,,2015,,114,0,6,,22,86,"1,552",288,"1,197",67,2,,,
,CLEARWATER,2014,"110,075",305,3,26,,86,190,"2,169",389,"1,668",112,5,,,
,,2015,,302,6,36,,92,168,"2,188",306,"1,738",144,7,,,
,CORAL SPRINGS,2014,"127,939",95,0,10,,23,62,"1,292",188,"1,046",58,2,,,
,,2015,,105,0,17,,34,54,"1,111",157,884,70,1,,,
,FORT LAUDERDALE,2014,"174,056",656,9,39,,289,319,"4,612",972,"3,311",329,17,,,
,,2015,,692,4,68,,200,420,"4,532",877,"3,266",389,13,,,
,GAINESVILLE,2014,"128,185",435,2,60,,70,303,"2,203",312,"1,750",141,11,,,
,,2015,,416,2,43,,91,280,"2,108",265,"1,719",124,5,,,
,HIALEAH,2014,"235,446",367,3,21,,129,214,"3,186",348,"2,481",357,6,,,
,,2015,,407,2,14,,142,249,"2,769",340,"2,088",341,14,,,
,HOLLYWOOD,2014,"147,918",408,6,37,,125,240,"3,142",698,"2,236",208,2,,,
,,2015,,353,6,34,,131,182,"2,756",537,"1,958",261,1,,,
,JACKSONVILLE,2014,"856,021","2,897",51,236,,701,"1,909","16,301","3,363","11,952",986,46,,,
,,2015,,"2,764",46,226,,620,"1,872","16,090","3,172","11,840","1,078",41,,,
,LAKELAND,2014,"101,428",285,4,44,,84,153,"2,598",474,"1,993",131,0,,,
,,2015,,246,3,37,,59,147,"2,368",371,"1,846",151,3,,,
,MIAMI,2014,"421,996","2,080",43,35,,768,"1,234","10,028","1,768","7,083","1,177",36,,,
,,2015,,"2,226",42,33,,829,"1,322","9,604","1,568","6,885","1,151",44,,,
,MIAMI GARDENS,2014,"112,373",369,8,9,,104,248,"2,227",540,"1,455",232,8,,,
,,2015,,351,12,8,,112,219,"2,001",390,"1,433",178,12,,,
,MIRAMAR,2014,"132,352",214,4,19,,58,133,"1,341",390,861,90,4,,,
,,2015,,225,3,21,,65,136,"1,357",194,"1,051",112,6,,,
,ORLANDO,2014,"259,675","1,136",12,80,,279,765,"8,311","1,801","6,044",466,25,,,
,,2015,,"1,277",9,94,,270,904,"7,874","1,588","5,753",533,25,,,
,PALM BAY,2014,"105,287",281,0,23,,24,234,"1,054",230,754,70,3,,,
,,2015,,251,5,27,,31,188,949,222,667,60,7,,,
,PEMBROKE PINES,2014,"164,372",132,2,8,,54,68,"1,887",306,"1,491",90,1,,,
,,2015,,166,0,11,,39,116,"1,831",291,"1,428",112,5,,,
,POMPANO BEACH,2014,"105,523",399,2,28,,129,240,"2,243",488,"1,610",145,6,,,
,,2015,,484,2,39,,121,322,"2,176",356,"1,616",204,7,,,
,PORT ST. LUCIE,2014,"172,453",130,4,8,,20,98,"1,204",261,905,38,5,,,
,,2015,,124,2,4,,13,105,"1,164",204,924,36,1,,,
,ST. PETERSBURG,2014,"250,772","1,088",9,83,,305,691,"6,830","1,358","4,832",640,23,,,
,,2015,,979,5,67,,266,641,"7,156","1,127","5,263",766,23,,,
,TALLAHASSEE,2014,"187,573",840,5,89,,150,596,"4,264","1,054","2,919",291,4,,,
,,2015,,990,8,119,,166,697,"4,443",960,"3,110",373,3,,,
,TAMPA,2014,"357,124",962,12,26,,224,700,"4,056",823,"3,040",193,20,,,
,,2015,,"1,127",21,32,,296,778,"4,075",934,"2,863",278,35,,,
,WEST PALM BEACH,2014,"103,028",447,9,20,,152,266,"2,376",420,"1,795",161,7,,,
,,2015,,416,6,25,,123,262,"2,451",355,"1,861",235,6,,,
GEORGIA,ATHENS-CLARKE COUNTY,2014,"121,511",159,3,,21,45,90,"1,734",349,"1,296",89,14,,,
,,2015,,257,1,,25,62,169,"1,920",370,"1,446",104,16,,,
,ATLANTA,2014,"454,363","2,580",39,,74,"1,043","1,424","12,119","2,546","7,628","1,945",28,,,
,,2015,,"2,529",45,,83,905,"1,496","12,145","2,258","7,703","2,184",27,,,
,COLUMBUS,2014,"206,714",516,11,,25,225,255,"5,764","1,496","3,719",549,20,,,
,,2015,,523,5,,31,243,244,"5,427","1,297","3,595",535,20,,,
,SANDY SPRINGS,2014,"101,184",71,0,,10,46,15,"1,381",312,982,87,1,,,
,,2015,,73,2,,6,41,24,"1,237",272,886,79,1,,,
,SAVANNAH-CHATHAM METROPOLITAN,2014,"236,682",395,15,,31,190,159,"3,921",775,"2,808",338,15,,,
,,2015,,487,19,,31,209,228,"4,457",907,"3,023",527,7,,,
HAWAII,HONOLULU6,2014,"994,034",,,,,,,,,,,,,,
,,2015,,"1,158",12,147,,438,561,"13,836","2,072","10,144","1,620",126,,,
IDAHO,BOISE,2014,"216,260",332,2,65,,32,233,"2,078",349,"1,646",83,19,,,
,,2015,,293,0,55,,17,221,"2,122",272,"1,718",132,22,,,
ILLINOIS,AURORA,2014,"200,419",284,4,18,,53,209,"1,315",196,"1,074",45,8,,,
,,2015,,296,4,24,,47,221,"1,283",207,"1,021",55,4,,,
,CHICAGO,2014,"2,724,121","10,888",175,654,,"4,400","5,659","39,749","6,649","28,326","4,774",223,,,
,,2015,,"10,969",207,622,,"4,051","6,089","36,468","5,650","26,005","4,813",242,,,
,ELGIN,2014,"110,595",112,1,22,,31,58,899,144,727,28,7,,,
,,2015,,102,3,17,,19,63,742,113,600,29,2,,,
,JOLIET,2014,"147,838",219,1,5,,45,168,"1,346",271,"1,016",59,22,,,
,,2015,,197,3,18,,51,125,"1,597",329,"1,216",52,18,,,
,NAPERVILLE,2014,"145,510",52,1,5,,8,38,717,72,626,19,1,,,
,,2015,,45,0,2,,10,33,749,65,671,13,1,,,
,PEORIA,2014,"116,923",370,4,32,,112,222,"2,244",558,"1,596",90,25,,,
,,2015,,346,5,27,,124,190,"2,016",471,"1,479",66,16,,,
,ROCKFORD,2014,"149,586",927,10,69,,178,670,"2,947",759,"2,019",169,34,,,
,,2015,,"1,142",9,78,,195,860,"2,621",651,"1,767",203,32,,,
,SPRINGFIELD,2014,"117,134",551,2,42,,111,396,"2,523",479,"2,005",39,25,,,
,,2015,,558,4,47,,110,397,"2,210",378,"1,736",96,23,,,
INDIANA,EVANSVILLE,2014,"120,372",286,5,,33,108,140,"3,229",490,"2,522",217,,,,
,,2015,,347,2,,35,81,229,"2,722",471,"2,100",151,23,,,
,FORT WAYNE,2014,"257,172",376,4,44,,156,172,"3,883",781,"2,950",152,22,,,
,,2015,,457,12,42,,209,194,"3,499",628,"2,719",152,30,,,
,SOUTH BEND,2014,"100,853",302,7,49,,128,118,"2,039",502,"1,410",127,12,,,
,,2015,,325,9,32,,166,118,"2,312",523,"1,610",179,14,,,
IOWA,CEDAR RAPIDS,2014,"128,901",179,8,19,,54,98,"2,236",386,"1,727",123,6,,,
, ,2015,,170,2,16,,52,100,"2,267",412,"1,722",133,5,,,
,DES MOINES,2014,"208,250",584,3,51,,124,406,"3,879",821,"2,658",400,12,,,
,,2015,,806,8,62,,117,619,"3,995",889,"2,655",451,21,,,
KANSAS,KANSAS CITY,2014,"149,103",494,13,113,,108,260,"3,386",793,"2,134",459,21,,,
,,2015,,558,12,144,,136,266,"3,386",641,"2,312",433,23,,,
,OVERLAND PARK,2014,"183,108",137,5,44,,12,76,"1,508",173,"1,070",265,6,,,
,,2015,,192,2,87,,20,83,"1,708",206,"1,230",272,10,,,
,TOPEKA,2014,"127,673",303,4,27,,86,186,"2,872",441,"2,168",263,4,,,
,,2015,,325,3,40,,99,183,"3,183",580,"2,324",279,3,,,
,WICHITA,2014,"387,493","1,497",13,129,,258,"1,097","9,482","1,639","6,756","1,087",45,,,
,,2015,,"1,764",11,155,,322,"1,276","8,564","1,524","6,175",865,48,,,
KENTUCKY,LEXINGTON,2014,"311,848",514,11,73,,258,172,"5,757","1,181","4,123",453,24,,,
,,2015,,490,9,81,,229,171,"5,727","1,203","4,010",514,22,,,
,LOUISVILLE METRO9,2014,"678,513","1,904",27,96,,669,"1,112","13,054","2,857","9,212",985,82,,,
,,2015,,"2,048",41,93,,705,"1,209","13,135","2,909","8,885","1,341",,,,
LOUISIANA,BATON ROUGE,2014,"229,387","1,078",27,34,,426,591,"5,045","1,380","3,406",259,78,,,
,,2015,,967,27,47,,393,500,"4,692","1,136","3,313",243,65,,,
,LAFAYETTE,2014,"125,122",390,1,4,,113,272,"3,526",613,"2,676",237,35,,,
,,2015,,329,6,11,,72,240,"3,224",473,"2,532",219,17,,,
,NEW ORLEANS,2014,"387,113","1,869",71,98,,713,987,"7,901","1,636","5,056","1,209",,,,
,,2015,,"1,652",92,152,,622,786,"7,304","1,362","4,773","1,169",15,,,
,SHREVEPORT,2014,"200,184",716,9,65,,189,453,"4,398",946,"3,201",251,27,,,
,,2015,,793,10,74,,218,491,"4,960","1,052","3,637",271,26,,,
MARYLAND,BALTIMORE,2014,"623,513","3,989",99,,129,"1,641","2,120","14,003","3,215","8,511","2,277",102,,,
,,2015,,"4,224",144,140,,"1,826","2,114","14,194","3,577","8,205","2,412",132,,,
MASSACHUSETTS,CAMBRIDGE,2014,"108,201",146,1,11,,36,98,"1,090",125,907,58,0,,,
,,2015,,151,1,14,,42,94,"1,236",188,994,54,2,,,
,LOWELL,2014,"109,729",262,1,17,,74,170,"1,267",314,797,156,12,,,
,,2015,,227,0,10,,65,152,"1,083",221,776,86,7,,,
,SPRINGFIELD,2014,"153,766",777,6,51,,261,459,"2,688",779,"1,616",293,26,,,
,,2015,,837,13,43,,247,534,"2,350",573,"1,501",276,18,,,
,WORCESTER,2014,"183,248",814,4,7,,175,628,"2,570",660,"1,740",170,1,,,
,,2015,,770,4,4,,189,573,"2,316",491,"1,640",185,2,,,
MICHIGAN,ANN ARBOR,2014,"117,768",94,0,29,,9,56,"1,010",156,792,62,4,,,
,,2015,,96,0,26,,13,57,"1,043",95,912,36,3,,,
,DETROIT,2014,"684,694","6,292",135,284,,"1,589","4,284","15,748","4,390","6,629","4,729",235,,,
,,2015,,"5,711",107,234,,"1,128","4,242","13,515","3,329","6,810","3,376",420,,,
,GRAND RAPIDS10,2014,"193,385",623,3,31,,198,391,"2,388",584,"1,683",121,25,,,
,,2015,,618,5,57,,153,403,,438,"1,515",,24,,,
,LANSING,2014,"113,901",537,5,38,,109,385,"1,550",436,956,158,11,,,
,,2015,,469,4,39,,82,344,"1,347",335,883,129,7,,,
,STERLING HEIGHTS,2014,"131,604",101,0,16,,13,72,981,130,778,73,7,,,
,,2015,,94,2,20,,7,65,828,75,688,65,4,,,
,WARREN,2014,"135,080",288,3,39,,62,184,"1,563",340,993,230,8,,,
,,2015,,364,2,55,,59,248,"1,427",291,867,269,10,,,
MISSISSIPPI,JACKSON,2014,"172,376",710,35,,61,313,301,"4,837","1,468","2,872",497,59,,,
,,2015,,745,27,,71,366,281,"4,117","1,115","2,504",498,,,,
MISSOURI,COLUMBIA,2014,"116,847",162,2,30,,43,87,"1,908",265,"1,565",78,6,,,
,,2015,,274,1,44,,66,163,"1,605",385,"1,135",85,5,,,
,INDEPENDENCE,2014,"117,321",223,1,25,,50,147,"3,182",505,"2,271",406,17,,,
,,2015,,216,1,28,,56,131,"2,922",409,"2,073",440,7,,,
,KANSAS CITY,2014,"468,417","2,735",35,191,,707,"1,802","10,823","2,524","6,336","1,963",111,,,
,,2015,,"2,987",36,162,,689,"2,100","9,709","2,247","5,697","1,765",69,,,
,SPRINGFIELD,2014,"165,280",942,5,136,,181,620,"5,719",864,"4,294",561,29,,,
,,2015,,"1,063",7,128,,212,716,"5,961",935,"4,438",588,30,,,
,ST. LOUIS,2014,"318,574","2,284",58,144,,594,"1,488","8,616","1,756","5,435","1,425",86,,,
,,2015,,"2,806",92,127,,832,"1,755","9,608","1,947","6,031","1,630",79,,,
MONTANA,BILLINGS,2014,"110,245",195,2,41,,28,124,"2,345",326,"1,758",261,3,,,
,,2015,,233,2,30,,40,161,"2,369",295,"1,662",412,6,,,
NEBRASKA,LINCOLN,2014,"271,208",445,4,,76,99,266,"4,212",628,"3,442",142,33,,,
,,2015,,471,0,,83,104,284,"4,226",625,"3,432",169,38,,,
NEVADA,HENDERSON,2014,"274,121",198,1,33,,69,95,"2,725",692,"1,788",245,11,,,
,,2015,,229,1,51,,83,94,"2,677",679,"1,731",267,7,,,
