Geographic area name,,,2012 NAICS code,Meaning of 2012 NAICS code,,,Meaning of Type of operation or tax status code,,Year,Number of establishments,"Value of sales, shipments, receipts, revenue, or business done ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of employees,Number of nonemployer establishments,"Nonemployer value of sales, shipments, receipts, revenue, or business done ($1,000)"
Arizona,,,61,Educational services,,,Establishments subject to federal income tax,,2012,"1,128","1,156,787","456,356","109,811","11,618",N,N
Arizona,,,61,Educational services,,,Establishments exempt from federal income tax,,2012,173,"81,651","27,617","6,727","1,191",N,N
Arizona,,,62,Health care and social assistance,,,All establishments,,2012,"16,872","37,055,881","14,236,127","3,432,523","315,107","33,924","1,236,073"
Arizona,,,62,Health care and social assistance,,,Establishments subject to federal income tax,,2012,"15,041","20,221,122","7,974,631","1,862,382","184,186",N,N
Arizona,,,62,Health care and social assistance,,,Establishments exempt from federal income tax,,2012,"1,831","16,834,759","6,261,496","1,570,141","130,921",N,N
Arizona,,,71,"Arts, entertainment, and recreation",,,All establishments,,2012,"1,764","3,810,203","1,262,974","310,970","42,407","21,447","494,503"
Arizona,,,71,"Arts, entertainment, and recreation",,,Establishments subject to federal income tax,,2012,"1,424","3,279,270","1,088,269","266,460","33,881",N,N
Arizona,,,71,"Arts, entertainment, and recreation",,,Establishments exempt from federal income tax,,2012,340,"530,933","174,705","44,510","8,526",N,N
Arizona,,,72,Accommodation and food services,,,Total,,2012,"11,669","13,996,635","4,030,307","1,022,952","251,455","5,158","265,655"
Arizona,,,81,Other services (except public administration),,,All establishments,,2012,"8,503","6,231,666","1,735,966","428,374","62,073","62,082","1,771,546"
Arizona,,,81,Other services (except public administration),,,Establishments subject to federal income tax,,2012,"7,025","4,192,862","1,223,937","302,461","46,847",N,N
Arizona,,,81,Other services (except public administration),,,Establishments exempt from federal income tax,,2012,"1,478","2,038,804","512,029","125,913","15,226",N,N
Arkansas,,,21,"Mining, quarrying, and oil and gas extraction",,,Total,,2012,370,"5,338,251","580,457",N,"10,198","1,306","103,660"
Arkansas,,,22,Utilities,,,Total,,2012,320,Q,"528,383","153,972","7,065",175,"5,872"
Arkansas,,,23,Construction,,,Total,,2012,"4,761","8,979,189","1,698,844","379,981","42,999","28,207","1,470,235"
Arkansas,,,42,Wholesale trade,,,Wholesale Trade,,2012,"3,462","61,691,589","2,067,602","506,509","41,577","2,900","209,289"
Arkansas,,,42,Wholesale trade,,,"Merchant wholesalers, except manufacturers' sales branches and offices",,2012,"2,884","31,256,110","1,630,772","401,608","34,492",N,N
Arkansas,,,42,Wholesale trade,,,Manufacturers' sales branches and offices,,2012,239,"17,669,424","327,744","80,095","4,482",N,N
Arkansas,,,44-45,Retail trade,,,Total,,2012,"10,923","36,815,256","3,061,534","746,225","135,448","17,504","843,367"
Arkansas,,,48-49 (104),Transportation and warehousing (104),,,Total,,2012,"2,356","7,944,928","2,047,441","506,465","50,798","9,279","691,967"
Arkansas,,,51,Information,,,Total,,2012,"1,020",N,"1,362,422","363,025","23,729","1,616","42,422"
Arkansas,,,52,Finance and insurance,,,Total,,2012,"4,319",N,"1,923,865","509,856","35,504","6,316","303,404"
Arkansas,,,53,Real estate and rental and leasing,,,Total,,2012,"2,802","1,922,699","409,831","95,194","12,867","16,830","1,445,297"
Arkansas,,,54,"Professional, scientific, and technical services",,,All establishments,,2012,"5,678","4,527,996","1,566,960","391,259","32,210","17,306","565,897"
Arkansas,,,54,"Professional, scientific, and technical services",,,Establishments subject to federal income tax,,2012,"5,655","4,464,886","1,549,219","387,141","31,871",N,N
Arkansas,,,54,"Professional, scientific, and technical services",,,Establishments exempt from federal income tax,,2012,23,"63,110","17,741","4,118",339,N,N
Arkansas,,,55,Management of companies and enterprises,,,Total,,2012,"1,252","928,213","3,292,435","1,055,569","39,993",N,N
Arkansas,,,56,Administrative and support and waste management and remediation services,,,Total,,2012,"2,601","3,180,510","1,508,127","345,233","52,676","20,359","345,388"
Arkansas,,,61,Educational services,,,All establishments,,2012,373,"142,072","41,790","9,981","2,206","3,866","42,308"
Arkansas,,,61,Educational services,,,Establishments subject to federal income tax,,2012,300,"123,158","35,192","8,282","1,819",N,N
Arkansas,,,61,Educational services,,,Establishments exempt from federal income tax,,2012,73,"18,914","6,598","1,699",387,N,N
Arkansas,,,62,Health care and social assistance,,,All establishments,,2012,"7,485","15,792,628","6,318,741","1,522,239","166,455","14,378","401,699"
Arkansas,,,62,Health care and social assistance,,,Establishments subject to federal income tax,,2012,"5,936","8,540,577","3,495,841","821,894","86,999",N,N
Arkansas,,,62,Health care and social assistance,,,Establishments exempt from federal income tax,,2012,"1,549","7,252,051","2,822,900","700,345","79,456",N,N
Arkansas,,,71,"Arts, entertainment, and recreation",,,All establishments,,2012,781,"704,439","160,027","36,247","8,881","6,277","109,683"
Arkansas,,,71,"Arts, entertainment, and recreation",,,Establishments subject to federal income tax,,2012,563,"498,975","104,284","23,257","5,927",N,N
Arkansas,,,71,"Arts, entertainment, and recreation",,,Establishments exempt from federal income tax,,2012,218,"205,464","55,743","12,990","2,954",N,N
Arkansas,,,72,Accommodation and food services,,,Total,,2012,"5,473","4,307,264","1,182,546","285,148","95,854","2,872","136,550"
Arkansas,,,81,Other services (except public administration),,,All establishments,,2012,"3,961","2,339,440","586,252","142,746","21,830","36,299","834,621"
Arkansas,,,81,Other services (except public administration),,,Establishments subject to federal income tax,,2012,"3,157","1,427,644","423,704","104,066","17,091",N,N
Arkansas,,,81,Other services (except public administration),,,Establishments exempt from federal income tax,,2012,804,"911,796","162,548","38,680","4,739",N,N
California,,,21,"Mining, quarrying, and oil and gas extraction",,,Total,,2012,753,"22,114,832","2,244,544",N,"27,852","5,120","224,056"
California,,,22,Utilities,,,Total,,2012,"1,143",Q,"7,009,835","2,108,650","66,836","1,450","73,770"
California,,,23,Construction,,,Total,,2012,"60,247","148,546,029","30,413,827","6,989,348","597,265","216,569","11,552,985"
California,,,42,Wholesale trade,,,Wholesale Trade,,2012,"59,293","969,249,516","58,755,349","14,831,739","842,343","61,167","6,536,694"
California,,,42,Wholesale trade,,,"Merchant wholesalers, except manufacturers' sales branches and offices",,2012,"52,664","666,652,186","48,408,666","12,055,787","723,526",N,N
California,,,42,Wholesale trade,,,Manufacturers' sales branches and offices,,2012,"1,786","222,052,862","8,689,299","2,381,099","83,410",N,N
California,,,44-45,Retail trade,,,Total,,2012,"106,419","481,800,461","43,361,045","10,551,888","1,540,055","225,506","11,529,158"
California,,,48-49 (104),Transportation and warehousing (104),,,Total,,2012,"21,218","78,925,731","19,716,092","4,858,218","441,734","128,267","9,500,176"
California,,,51,Information,,,Total,,2012,"21,925",N,"70,661,932","16,337,089","561,399","59,482","2,551,405"
California,,,52,Finance and insurance,,,Total,,2012,"48,523",N,"57,898,326","16,626,875","601,858","83,765","6,487,961"
California,,,53,Real estate and rental and leasing,,,Total,,2012,"49,276","78,740,158","13,467,465","3,401,430","273,511","303,819","35,369,379"
California,,,54,"Professional, scientific, and technical services",,,All establishments,,2012,"114,321","234,371,249","90,437,296","22,063,038","1,303,232","510,600","24,852,250"
California,,,54,"Professional, scientific, and technical services",,,Establishments subject to federal income tax,,2012,"113,553","227,858,890","87,924,600","21,424,951","1,270,902",N,N
California,,,54,"Professional, scientific, and technical services",,,Establishments exempt from federal income tax,,2012,768,"6,512,359","2,512,696","638,087","32,330",N,N
California,,,55,Management of companies and enterprises,,,Total,,2012,"5,116","14,197,087","30,089,818","8,107,797","276,957",N,N
California,,,56,Administrative and support and waste management and remediation services,,,Total,,2012,"41,820","88,134,862","43,254,296","10,184,795","1,109,518","248,479","6,055,322"
California,,,61,Educational services,,,All establishments,,2012,"9,240","7,784,661","2,629,451","637,366","105,142","74,298","1,246,487"
California,,,61,Educational services,,,Establishments subject to federal income tax,,2012,"7,602","6,013,926","1,985,783","481,727","79,910",N,N
California,,,61,Educational services,,,Establishments exempt from federal income tax,,2012,"1,638","1,770,735","643,668","155,639","25,232",N,N
California,,,62,Health care and social assistance,,,All establishments,,2012,"103,207","248,953,592","91,139,895","22,052,702","1,776,440","266,155","8,983,277"
California,,,62,Health care and social assistance,,,Establishments subject to federal income tax,,2012,"89,999","127,355,683","48,372,656","11,372,470","1,005,201",N,N
California,,,62,Health care and social assistance,,,Establishments exempt from federal income tax,,2012,"13,208","121,597,909","42,767,239","10,680,232","771,239",N,N
California,,,71,"Arts, entertainment, and recreation",,,All establishments,,2012,"21,191","39,179,497","13,418,928","2,803,083","303,838","189,071","6,277,301"
California,,,71,"Arts, entertainment, and recreation",,,Establishments subject to federal income tax,,2012,"19,010","34,302,925","11,726,703","2,399,950","245,599",N,N
California,,,71,"Arts, entertainment, and recreation",,,Establishments exempt from federal income tax,,2012,"2,181","4,876,572","1,692,225","403,133","58,239",N,N
California,,,72,Accommodation and food services,,,Total,,2012,"78,560","90,830,372","25,147,755","6,097,875","1,394,984","39,730","2,016,805"
California,,,81,Other services (except public administration),,,All establishments,,2012,"57,009","50,439,225","12,251,174","2,993,540","395,836","453,196","12,843,965"
California,,,81,Other services (except public administration),,,Establishments subject to federal income tax,,2012,"46,852","29,320,910","8,446,130","2,053,960","299,033",N,N
California,,,81,Other services (except public administration),,,Establishments exempt from federal income tax,,2012,"10,157","21,118,315","3,805,044","939,580","96,803",N,N
Colorado,,,21,"Mining, quarrying, and oil and gas extraction",,,Total,,2012,"1,155","20,176,242","2,464,478",N,"33,119","3,998","298,649"
Colorado,,,22,Utilities,,,Total,,2012,365,Q,"736,022","208,070","8,498",322,"17,247"
Colorado,,,23,Construction,,,Total,,2012,"13,986","29,823,432","5,887,650","1,323,102","123,511","48,796","2,803,092"
Colorado,,,42,Wholesale trade,,,Wholesale Trade,,2012,"7,224","118,605,118","6,155,428","1,541,118","92,714","6,991","516,859"
Colorado,,,42,Wholesale trade,,,"Merchant wholesalers, except manufacturers' sales branches and offices",,2012,"5,733","77,034,971","4,762,104","1,172,983","75,717",N,N
Colorado,,,42,Wholesale trade,,,Manufacturers' sales branches and offices,,2012,421,"31,012,973","1,132,873","305,070","11,416",N,N
Colorado,,,44-45,Retail trade,,,Total,,2012,"18,474","67,815,200","6,508,583","1,569,618","245,704","35,955","1,406,341"
Colorado,,,48-49 (104),Transportation and warehousing (104),,,Total,,2012,"3,443","13,962,736","2,851,372","704,394","61,976","13,820","930,159"
Colorado,,,51,Information,,,Total,,2012,"3,023",N,"5,851,300","1,602,518","81,953","7,256","246,599"
Colorado,,,52,Finance and insurance,,,Total,,2012,"9,828",N,"7,418,129","2,125,247","98,761","16,090","1,196,632"
Colorado,,,53,Real estate and rental and leasing,,,Total,,2012,"9,295","8,482,453","1,569,552","378,114","38,706","55,872","4,957,007"
Colorado,,,54,"Professional, scientific, and technical services",,,All establishments,,2012,"23,872","33,740,692","12,932,134","3,099,179","180,064","77,612","3,302,909"
Colorado,,,54,"Professional, scientific, and technical services",,,Establishments subject to federal income tax,,2012,"23,761","32,686,803","12,536,975","3,000,339","175,448",N,N
Colorado,,,54,"Professional, scientific, and technical services",,,Establishments exempt from federal income tax,,2012,111,"1,053,889","395,159","98,840","4,616",N,N
Colorado,,,55,Management of companies and enterprises,,,Total,,2012,"1,004","1,527,616","5,635,705","1,669,958","55,053",N,N
Colorado,,,56,Administrative and support and waste management and remediation services,,,Total,,2012,"8,354","16,133,054","8,456,411","2,083,645","210,408","32,192","753,759"
Colorado,,,61,Educational services,,,All establishments,,2012,"1,911","1,301,886","431,180","108,625","14,615","12,748","190,596"
Colorado,,,61,Educational services,,,Establishments subject to federal income tax,,2012,"1,576","985,555","324,189","82,709","10,810",N,N
Colorado,,,61,Educational services,,,Establishments exempt from federal income tax,,2012,335,"316,331","106,991","25,916","3,805",N,N
Colorado,,,62,Health care and social assistance,,,All establishments,,2012,"14,869","29,488,161","11,876,968","2,839,561","257,898","32,407","984,842"
Colorado,,,62,Health care and social assistance,,,Establishments subject to federal income tax,,2012,"12,701","14,693,188","6,167,121","1,425,658","140,738",N,N
Colorado,,,62,Health care and social assistance,,,Establishments exempt from federal income tax,,2012,"2,168","14,794,973","5,709,847","1,413,903","117,160",N,N
Colorado,,,71,"Arts, entertainment, and recreation",,,All establishments,,2012,"2,433","3,783,005","1,322,928","324,835","51,235","25,483","511,759"
Colorado,,,71,"Arts, entertainment, and recreation",,,Establishments subject to federal income tax,,2012,"1,950","3,048,598","1,082,495","268,306","41,585",N,N
Colorado,,,71,"Arts, entertainment, and recreation",,,Establishments exempt from federal income tax,,2012,483,"734,407","240,433","56,529","9,650",N,N
Colorado,,,72,Accommodation and food services,,,Total,,2012,"12,744","13,617,654","3,994,605","979,620","240,484","5,111","219,742"
Colorado,,,81,Other services (except public administration),,,All establishments,,2012,"10,246","8,518,960","2,100,101","509,475","64,398","54,525","1,496,278"
Colorado,,,81,Other services (except public administration),,,Establishments subject to federal income tax,,2012,"7,918","3,942,077","1,242,251","300,027","46,005",N,N
Colorado,,,81,Other services (except public administration),,,Establishments exempt from federal income tax,,2012,"2,328","4,576,883","857,850","209,448","18,393",N,N
Connecticut,,,21,"Mining, quarrying, and oil and gas extraction",,,Total,,2012,64,"413,836","54,488",N,"1,019",67,"7,376"
Connecticut,,,22,Utilities,,,Total,,2012,153,Q,"922,836","300,222","10,545",211,"10,013"
Connecticut,,,23,Construction,,,Total,,2012,"7,191","15,313,759","3,039,140","681,824","55,906","31,688","2,530,959"
Connecticut,,,42,Wholesale trade,,,Wholesale Trade,,2012,"4,324","216,165,548","5,320,942","1,386,165","75,460","4,480","530,617"
Connecticut,,,42,Wholesale trade,,,"Merchant wholesalers, except manufacturers' sales branches and offices",,2012,"3,675","161,962,244","3,934,423","995,964","58,814",N,N
Connecticut,,,42,Wholesale trade,,,Manufacturers' sales branches and offices,,2012,258,"34,117,184","1,078,240","318,501","11,327",N,N
Connecticut,,,44-45,Retail trade,,,Total,,2012,"12,597","51,632,467","4,974,539","1,226,834","182,528","18,907","1,161,740"
Connecticut,,,48-49 (104),Transportation and warehousing (104),,,Total,,2012,"1,595","5,113,665","1,680,594","412,070","44,003","6,597","401,792"
Connecticut,,,51,Information,,,Total,,2012,"1,675",N,"2,712,365","696,865","37,338","4,021","188,058"
Connecticut,,,52,Finance and insurance,,,Total,,2012,"6,108",N,"16,626,842","5,811,158","119,326","10,904","1,320,778"
Connecticut,,,53,Real estate and rental and leasing,,,Total,,2012,"3,219","5,349,451","958,361","240,487","19,778","34,416","3,319,546"
Connecticut,,,54,"Professional, scientific, and technical services",,,All establishments,,2012,"9,220","17,993,705","8,364,068","2,104,934","97,578","45,034","2,566,072"
Connecticut,,,54,"Professional, scientific, and technical services",,,Establishments subject to federal income tax,,2012,"9,176","17,863,930","8,316,659","2,093,096","96,768",N,N
Connecticut,,,54,"Professional, scientific, and technical services",,,Establishments exempt from federal income tax,,2012,44,"129,775","47,409","11,838",810,N,N
Connecticut,,,55,Management of companies and enterprises,,,Total,,2012,756,D,D,D,k,N,N
Connecticut,,,56,Administrative and support and waste management and remediation services,,,Total,,2012,"5,186","8,783,808","3,272,639","880,429","92,994","19,733","610,188"
Connecticut,,,61,Educational services,,,All establishments,,2012,"1,062","830,253","256,677","66,570","10,435","8,924","152,215"
Connecticut,,,61,Educational services,,,Establishments subject to federal income tax,,2012,866,"689,529","208,132","54,617","8,274",N,N
Connecticut,,,61,Educational services,,,Establishments exempt from federal income tax,,2012,196,"140,724","48,545","11,953","2,161",N,N
Connecticut,,,62,Health care and social assistance,,,All establishments,,2012,"10,296","29,573,119","12,533,455","3,023,923","271,272","23,022","766,575"
Connecticut,,,62,Health care and social assistance,,,Establishments subject to federal income tax,,2012,"7,876","13,333,420","6,058,834","1,417,763","131,732",N,N
Connecticut,,,62,Health care and social assistance,,,Establishments exempt from federal income tax,,2012,"2,420","16,239,699","6,474,621","1,606,160","139,540",N,N
Connecticut,,,71,"Arts, entertainment, and recreation",,,All establishments,,2012,"1,610","2,298,479","715,386","150,226","26,476","15,804","414,502"
Connecticut,,,71,"Arts, entertainment, and recreation",,,Establishments subject to federal income tax,,2012,"1,160","1,538,510","418,509","87,714","14,862",N,N
Connecticut,,,71,"Arts, entertainment, and recreation",,,Establishments exempt from federal income tax,,2012,450,"759,969","296,877","62,512","11,614",N,N
Connecticut,,,72,Accommodation and food services,,,Total,,2012,"8,263","9,542,068","2,590,778","619,127","134,546","3,324","170,843"
Connecticut,,,81,Other services (except public administration),,,All establishments,,2012,"7,282","4,903,953","1,382,426","338,737","43,384","29,916","923,807"
Connecticut,,,81,Other services (except public administration),,,Establishments subject to federal income tax,,2012,"5,816","3,031,011","960,567","236,034","34,073",N,N
Connecticut,,,81,Other services (except public administration),,,Establishments exempt from federal income tax,,2012,"1,466","1,872,942","421,859","102,703","9,311",N,N
Delaware,,,21,"Mining, quarrying, and oil and gas extraction",,,Total,,2012,13,"43,355","11,342",N,c,10,"1,516"
Delaware,,,22,Utilities,,,Total,,2012,48,Q,"246,949","69,528","2,622",38,"3,085"
Delaware,,,23,Construction,,,Total,,2012,"2,000","3,813,648","868,453","194,526","17,774","5,744","387,216"
Delaware,,,42,Wholesale trade,,,Wholesale Trade,,2012,"1,029","20,473,953","1,106,263","300,975","14,465","1,006","115,697"
Delaware,,,42,Wholesale trade,,,"Merchant wholesalers, except manufacturers' sales branches and offices",,2012,835,"5,628,914","385,861","93,230","7,653",N,N
Delaware,,,42,Wholesale trade,,,Manufacturers' sales branches and offices,,2012,86,"13,364,198","691,727","200,953","6,367",N,N
Delaware,,,44-45,Retail trade,,,Total,,2012,"3,616","14,456,001","1,270,122","306,271","51,711","5,133","257,669"
Delaware,,,48-49 (104),Transportation and warehousing (104),,,Total,,2012,612,"1,056,221","418,199","100,218","11,938","2,101","151,029"
Delaware,,,51,Information,,,Total,,2012,417,N,"402,539","101,816","6,964",883,"52,643"
Delaware,,,52,Finance and insurance,,,Total,,2012,"1,920",N,"3,033,582","1,017,248","36,438","2,355","188,960"
Delaware,,,53,Real estate and rental and leasing,,,Total,,2012,"1,111","5,471,215","264,888","55,672","5,402","8,327","828,594"
